position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,9.000000,9.000000,6.000000,15.000000,6.000000
1,1.000000,7.000000,11.000000,13.000000,11.000000,8.000000
2,1.000000,17.000000,16.000000,14.000000,19.000000,11.000000
3,1.000000,11.000000,21.000000,22.000000,21.000000,5.000000
4,1.000000,19.000000,30.000000,24.000000,14.000000,8.000000
5,1.000000,18.000000,31.000000,33.000000,23.000000,10.000000
6,1.000000,28.000000,33.000000,48.000000,30.000000,17.000000
7,1.000000,32.000000,62.000000,50.000000,40.000000,28.000000
8,1.000000,51.000000,65.000000,57.000000,33.000000,19.000000
9,1.000000,62.000000,87.000000,73.000000,49.000000,17.000000
10,1.000000,76.000000,131.000000,86.000000,49.000000,35.000000
11,1.000000,95.000000,150.000000,99.000000,63.000000,27.000000
12,1.000000,148.000000,169.000000,134.000000,84.000000,43.000000
13,1.000000,174.000000,207.000000,179.000000,94.000000,50.000000
14,1.000000,218.000000,270.000000,198.000000,112.000000,44.000000
15,1.000000,309.000000,359.000000,287.000000,161.000000,64.000000
16,1.000000,373.000000,413.000000,322.000000,172.000000,97.000000
17,1.000000,478.000000,507.000000,389.000000,229.000000,96.000000
18,1.000000,606.000000,669.000000,490.000000,252.000000,109.000000
19,1.000000,832.000000,868.000000,620.000000,325.000000,132.000000
20,1.000000,1068.000000,1188.000000,762.000000,358.000000,160.000000
21,1.000000,1506.000000,1453.000000,878.000000,426.000000,168.000000
22,1.000000,1937.000000,1840.000000,1179.000000,506.000000,226.000000
23,1.000000,2547.000000,2400.000000,1381.000000,624.000000,231.000000
24,1.000000,3486.000000,3172.000000,1614.000000,772.000000,275.000000
25,1.000000,4773.000000,3899.000000,2052.000000,909.000000,331.000000
26,1.000000,6428.000000,5077.000000,2485.000000,1045.000000,371.000000
27,1.000000,9137.000000,6780.000000,3147.000000,1213.000000,444.000000
28,1.000000,13387.000000,9100.000000,3828.000000,1507.000000,509.000000
29,1.000000,20439.000000,12763.000000,5035.000000,1738.000000,606.000000
30,1.000000,35544.000000,18910.000000,6718.000000,2040.000000,622.000000
31,1.000000,82184.000000,34472.000000,9865.000000,2667.000000,713.000000
32,6403729.000000,1716621.000000,248130.000000,29128.000000,3946.000000,783.000000
33,1.000000,81792.000000,34767.000000,9684.000000,2538.000000,740.000000
34,1.000000,35302.000000,18531.000000,6552.000000,2070.000000,676.000000
35,1.000000,20285.000000,12619.000000,5027.000000,1742.000000,602.000000
36,1.000000,13228.000000,9039.000000,3871.000000,1396.000000,506.000000
37,1.000000,9013.000000,6666.000000,3173.000000,1240.000000,432.000000
38,1.000000,6421.000000,5029.000000,2491.000000,1035.000000,367.000000
39,1.000000,4700.000000,3949.000000,2058.000000,876.000000,329.000000
40,1.000000,3641.000000,3067.000000,1722.000000,787.000000,313.000000
41,1.000000,2552.000000,2403.000000,1414.000000,630.000000,252.000000
42,1.000000,1917.000000,1936.000000,1132.000000,520.000000,216.000000
43,1.000000,1474.000000,1500.000000,888.000000,403.000000,180.000000
44,1.000000,1114.000000,1154.000000,681.000000,392.000000,139.000000
45,1.000000,816.000000,909.000000,542.000000,282.000000,145.000000
46,1.000000,661.000000,683.000000,486.000000,260.000000,94.000000
47,1.000000,507.000000,569.000000,395.000000,211.000000,92.000000
48,1.000000,369.000000,426.000000,320.000000,208.000000,81.000000
49,1.000000,294.000000,345.000000,242.000000,165.000000,64.000000
50,1.000000,214.000000,289.000000,220.000000,114.000000,61.000000
51,1.000000,195.000000,229.000000,176.000000,94.000000,52.000000
52,1.000000,137.000000,183.000000,143.000000,92.000000,39.000000
53,1.000000,86.000000,149.000000,129.000000,59.000000,32.000000
54,1.000000,78.000000,109.000000,70.000000,52.000000,18.000000
55,1.000000,67.000000,70.000000,78.000000,36.000000,27.000000
56,1.000000,46.000000,62.000000,54.000000,47.000000,23.000000
57,1.000000,39.000000,53.000000,52.000000,34.000000,19.000000
58,1.000000,27.000000,39.000000,46.000000,24.000000,15.000000
59,1.000000,22.000000,24.000000,33.000000,21.000000,17.000000
60,1.000000,16.000000,39.000000,22.000000,17.000000,12.000000
61,1.000000,12.000000,20.000000,18.000000,12.000000,14.000000
62,1.000000,11.000000,15.000000,28.000000,13.000000,8.000000
63,1.000000,9.000000,15.000000,14.000000,10.000000,11.000000
64,1.000000,4.000000,12.000000,15.000000,16.000000,5.000000


