position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1255.000000,1157.000000,1186.000000,1154.000000,1128.000000,1139.000000
13,7294.000000,7298.000000,7185.000000,7197.000000,7401.000000,7287.000000
14,12488.000000,12487.000000,12700.000000,12547.000000,12537.000000,12507.000000
15,16653.000000,16496.000000,16691.000000,16682.000000,16657.000000,16820.000000
16,20140.000000,20147.000000,20211.000000,20051.000000,20305.000000,20164.000000
17,22899.000000,23103.000000,22942.000000,22854.000000,22936.000000,23297.000000
18,25635.000000,25724.000000,25619.000000,25652.000000,25649.000000,25984.000000
19,27854.000000,27869.000000,27881.000000,28012.000000,28194.000000,27606.000000
20,29826.000000,29674.000000,29774.000000,29781.000000,29823.000000,29709.000000
21,32039.000000,31620.000000,31490.000000,31522.000000,31744.000000,31430.000000
22,33380.000000,33305.000000,33397.000000,33474.000000,33226.000000,32886.000000
23,34230.000000,34373.000000,34625.000000,34656.000000,34683.000000,34604.000000
24,35425.000000,35802.000000,35450.000000,34997.000000,35625.000000,35881.000000
25,36710.000000,36803.000000,36388.000000,36820.000000,36792.000000,36392.000000
26,37692.000000,37724.000000,37631.000000,37490.000000,37155.000000,37501.000000
27,38149.000000,38285.000000,38293.000000,38103.000000,37910.000000,37946.000000
28,38839.000000,38505.000000,38862.000000,38838.000000,38938.000000,38892.000000
29,39319.000000,39045.000000,39115.000000,39117.000000,39422.000000,39373.000000
30,39820.000000,39511.000000,39752.000000,39919.000000,39374.000000,39844.000000
31,39712.000000,39633.000000,39721.000000,39650.000000,39705.000000,39601.000000
32,39769.000000,39919.000000,39862.000000,39531.000000,39710.000000,39925.000000
33,40251.000000,39587.000000,40155.000000,39882.000000,40071.000000,39793.000000
34,39425.000000,39873.000000,39769.000000,39514.000000,39342.000000,39711.000000
35,39013.000000,38855.000000,39062.000000,38882.000000,39073.000000,39078.000000
36,38812.000000,38743.000000,38797.000000,39084.000000,38758.000000,39001.000000
37,38106.000000,38167.000000,38410.000000,38084.000000,38212.000000,38041.000000
38,37637.000000,37721.000000,37640.000000,37276.000000,37302.000000,37609.000000
39,36663.000000,36781.000000,36591.000000,36494.000000,36441.000000,36581.000000
40,35496.000000,35801.000000,35611.000000,35808.000000,35568.000000,35892.000000
41,34550.000000,34332.000000,34676.000000,34231.000000,34170.000000,34588.000000
42,32957.000000,33106.000000,32735.000000,32881.000000,33386.000000,33421.000000
