position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,7.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,66.000000,9.000000,2.000000,1.000000,1.000000,1.000000
14,196.000000,26.000000,8.000000,1.000000,1.000000,1.000000
15,382.000000,45.000000,11.000000,1.000000,1.000000,1.000000
16,536.000000,96.000000,14.000000,2.000000,1.000000,1.000000
17,588.000000,97.000000,29.000000,2.000000,1.000000,1.000000
18,655.000000,133.000000,27.000000,4.000000,1.000000,1.000000
19,701.000000,154.000000,28.000000,3.000000,2.000000,1.000000
20,847.000000,146.000000,38.000000,9.000000,2.000000,1.000000
21,845.000000,178.000000,32.000000,7.000000,1.000000,1.000000
22,953.000000,221.000000,29.000000,5.000000,3.000000,1.000000
23,883.000000,203.000000,50.000000,8.000000,5.000000,1.000000
24,1002.000000,212.000000,42.000000,6.000000,2.000000,1.000000
25,982.000000,235.000000,42.000000,8.000000,5.000000,1.000000
26,954.000000,236.000000,56.000000,10.000000,2.000000,1.000000
27,877.000000,209.000000,38.000000,14.000000,4.000000,1.000000
28,834.000000,192.000000,39.000000,7.000000,3.000000,1.000000
29,807.000000,167.000000,31.000000,9.000000,1.000000,1.000000
30,724.000000,159.000000,21.000000,3.000000,1.000000,1.000000
31,678.000000,118.000000,26.000000,4.000000,3.000000,1.000000
32,590.000000,101.000000,19.000000,5.000000,1.000000,1.000000
33,493.000000,93.000000,13.000000,1.000000,1.000000,1.000000
34,370.000000,52.000000,15.000000,1.000000,1.000000,1.000000
35,197.000000,34.000000,6.000000,1.000000,1.000000,1.000000
36,61.000000,11.000000,1.000000,1.000000,1.000000,1.000000
37,4.000000,2.000000,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
40,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
41,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
44,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
45,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
46,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
47,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
48,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
