position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,3.000000,7.000000,9.000000,8.000000,10.000000,3.000000
13,157.000000,197.000000,185.000000,186.000000,203.000000,198.000000
14,812.000000,783.000000,774.000000,815.000000,872.000000,749.000000
15,1374.000000,1310.000000,1435.000000,1343.000000,1337.000000,1375.000000
16,1773.000000,1767.000000,1858.000000,1840.000000,1829.000000,1817.000000
17,2126.000000,2211.000000,2094.000000,2199.000000,2233.000000,2223.000000
18,2608.000000,2664.000000,2617.000000,2673.000000,2633.000000,2653.000000
19,3317.000000,3225.000000,3251.000000,3279.000000,3204.000000,3311.000000
20,3739.000000,3745.000000,3868.000000,3752.000000,3752.000000,3898.000000
21,4550.000000,4354.000000,4286.000000,4416.000000,4256.000000,4405.000000
22,5121.000000,5148.000000,4989.000000,5091.000000,5099.000000,5070.000000
23,5848.000000,5965.000000,5938.000000,5989.000000,5990.000000,6042.000000
24,6808.000000,6771.000000,6586.000000,6771.000000,6743.000000,6830.000000
25,7642.000000,7515.000000,7788.000000,7748.000000,7841.000000,7746.000000
26,8693.000000,8591.000000,8657.000000,8666.000000,8779.000000,8660.000000
27,9605.000000,9524.000000,9634.000000,9772.000000,9672.000000,9837.000000
28,10576.000000,10654.000000,10575.000000,10632.000000,10453.000000,10593.000000
29,11209.000000,11513.000000,11220.000000,11346.000000,11217.000000,11471.000000
30,12067.000000,12083.000000,12090.000000,12272.000000,12131.000000,12152.000000
31,12460.000000,12566.000000,12475.000000,12429.000000,12504.000000,12526.000000
32,12530.000000,12657.000000,12683.000000,12480.000000,12568.000000,12789.000000
33,12549.000000,12362.000000,12496.000000,12681.000000,12365.000000,12398.000000
34,12105.000000,11805.000000,11981.000000,11982.000000,12157.000000,12042.000000
35,11558.000000,11596.000000,11598.000000,11175.000000,11480.000000,11401.000000
36,10495.000000,10526.000000,10453.000000,10581.000000,10491.000000,10483.000000
37,9567.000000,9534.000000,9684.000000,9558.000000,9633.000000,9615.000000
38,8694.000000,8806.000000,8629.000000,8808.000000,8493.000000,8618.000000
39,7751.000000,7714.000000,7643.000000,7675.000000,7603.000000,7631.000000
40,6601.000000,6850.000000,6721.000000,6765.000000,6705.000000,6714.000000
41,981.000000,1003.000000,1015.000000,1036.000000,990.000000,1030.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
