position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000
25,1.000000,5.000000,3.000000,5.000000,2.000000,3.000000
26,1.000000,5.000000,4.000000,3.000000,1.000000,3.000000
27,1.000000,7.000000,10.000000,9.000000,4.000000,1.000000
28,1.000000,9.000000,12.000000,11.000000,5.000000,7.000000
29,1.000000,17.000000,19.000000,13.000000,8.000000,6.000000
30,1.000000,25.000000,22.000000,21.000000,17.000000,7.000000
31,1.000000,22.000000,33.000000,23.000000,18.000000,13.000000
32,1.000000,20.000000,31.000000,18.000000,13.000000,16.000000
33,1.000000,39.000000,55.000000,33.000000,24.000000,27.000000
34,1.000000,38.000000,43.000000,42.000000,24.000000,22.000000
35,1.000000,34.000000,56.000000,51.000000,40.000000,35.000000
36,1.000000,50.000000,67.000000,49.000000,28.000000,19.000000
37,1.000000,52.000000,75.000000,67.000000,47.000000,32.000000
38,1.000000,67.000000,85.000000,83.000000,45.000000,30.000000
39,1.000000,70.000000,96.000000,77.000000,45.000000,34.000000
40,1.000000,93.000000,125.000000,75.000000,68.000000,49.000000
41,1.000000,101.000000,102.000000,91.000000,79.000000,40.000000
42,1.000000,104.000000,155.000000,88.000000,73.000000,51.000000
43,1.000000,124.000000,129.000000,116.000000,95.000000,70.000000
44,1.000000,127.000000,166.000000,117.000000,81.000000,76.000000
45,1.000000,153.000000,199.000000,140.000000,95.000000,85.000000
46,1.000000,186.000000,165.000000,166.000000,100.000000,84.000000
47,1.000000,163.000000,191.000000,171.000000,101.000000,90.000000
48,1.000000,193.000000,199.000000,179.000000,124.000000,90.000000
