position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,1.000000,8.000000,15.000000,6.000000,14.000000,6.000000
20,1.000000,47.000000,77.000000,85.000000,58.000000,55.000000
21,1.000000,174.000000,217.000000,196.000000,143.000000,117.000000
22,1.000000,336.000000,408.000000,390.000000,327.000000,202.000000
23,1.000000,597.000000,714.000000,598.000000,481.000000,349.000000
24,1.000000,764.000000,916.000000,813.000000,694.000000,529.000000
25,1.000000,1031.000000,1168.000000,1053.000000,765.000000,575.000000
26,1.000000,1417.000000,1537.000000,1173.000000,928.000000,641.000000
27,1.000000,1724.000000,1806.000000,1379.000000,1074.000000,767.000000
28,1.000000,2362.000000,2295.000000,1639.000000,1261.000000,871.000000
29,1.000000,3102.000000,2615.000000,1891.000000,1325.000000,922.000000
30,1.000000,4428.000000,3121.000000,2160.000000,1416.000000,1121.000000
31,1.000000,6562.000000,3880.000000,2408.000000,1579.000000,1103.000000
32,68357.000000,13667.000000,4446.000000,2611.000000,1658.000000,1064.000000
33,1.000000,6603.000000,3782.000000,2470.000000,1591.000000,1081.000000
34,1.000000,4325.000000,3229.000000,2149.000000,1508.000000,1011.000000
35,1.000000,3039.000000,2650.000000,1947.000000,1389.000000,971.000000
36,1.000000,2374.000000,2078.000000,1695.000000,1258.000000,899.000000
37,1.000000,1779.000000,1680.000000,1417.000000,1019.000000,735.000000
38,1.000000,1317.000000,1470.000000,1227.000000,932.000000,676.000000
39,1.000000,1031.000000,1180.000000,1023.000000,802.000000,542.000000
40,1.000000,796.000000,1004.000000,807.000000,667.000000,485.000000
41,1.000000,536.000000,668.000000,651.000000,499.000000,361.000000
42,1.000000,348.000000,442.000000,406.000000,292.000000,239.000000
43,1.000000,163.000000,273.000000,221.000000,185.000000,111.000000
44,1.000000,64.000000,83.000000,76.000000,54.000000,52.000000
45,1.000000,11.000000,9.000000,7.000000,13.000000,5.000000
46,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
