position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,190.000000,86.000000,34.000000,10.000000,2.000000
1,1.000000,210.000000,77.000000,18.000000,7.000000,3.000000
2,1.000000,214.000000,79.000000,18.000000,6.000000,3.000000
3,1.000000,261.000000,91.000000,32.000000,8.000000,4.000000
4,1.000000,260.000000,108.000000,28.000000,12.000000,1.000000
5,1.000000,295.000000,89.000000,35.000000,11.000000,4.000000
6,1.000000,259.000000,105.000000,31.000000,13.000000,1.000000
7,1.000000,296.000000,110.000000,26.000000,17.000000,5.000000
8,1.000000,357.000000,111.000000,35.000000,13.000000,2.000000
9,1.000000,334.000000,121.000000,45.000000,8.000000,1.000000
10,1.000000,329.000000,99.000000,30.000000,8.000000,1.000000
11,1.000000,364.000000,110.000000,28.000000,14.000000,1.000000
12,1.000000,423.000000,114.000000,37.000000,14.000000,4.000000
13,1.000000,481.000000,149.000000,31.000000,5.000000,3.000000
14,1.000000,468.000000,141.000000,34.000000,14.000000,3.000000
15,1.000000,526.000000,140.000000,34.000000,11.000000,4.000000
16,1.000000,538.000000,153.000000,35.000000,12.000000,3.000000
17,1.000000,603.000000,132.000000,40.000000,8.000000,2.000000
18,1.000000,673.000000,166.000000,43.000000,14.000000,6.000000
19,1.000000,721.000000,186.000000,45.000000,13.000000,5.000000
20,9239.000000,896.000000,172.000000,42.000000,10.000000,3.000000
21,12304.000000,989.000000,172.000000,46.000000,12.000000,4.000000
22,12219.000000,1116.000000,170.000000,51.000000,18.000000,4.000000
23,12276.000000,1116.000000,154.000000,34.000000,11.000000,4.000000
24,12126.000000,1096.000000,186.000000,32.000000,19.000000,3.000000
25,12287.000000,1125.000000,159.000000,34.000000,14.000000,6.000000
26,12242.000000,1166.000000,197.000000,35.000000,12.000000,3.000000
27,12181.000000,1112.000000,195.000000,35.000000,9.000000,1.000000
28,12238.000000,1007.000000,174.000000,45.000000,18.000000,4.000000
29,9212.000000,906.000000,140.000000,49.000000,15.000000,2.000000
30,1.000000,699.000000,145.000000,26.000000,9.000000,2.000000
31,1.000000,658.000000,143.000000,40.000000,13.000000,6.000000
32,1.000000,585.000000,152.000000,30.000000,18.000000,3.000000
33,1.000000,524.000000,162.000000,47.000000,11.000000,5.000000
34,1.000000,511.000000,148.000000,44.000000,11.000000,5.000000
35,1.000000,456.000000,137.000000,33.000000,13.000000,9.000000
36,1.000000,429.000000,156.000000,24.000000,11.000000,4.000000
37,1.000000,389.000000,121.000000,39.000000,9.000000,7.000000
38,1.000000,412.000000,118.000000,36.000000,6.000000,7.000000
39,1.000000,380.000000,115.000000,29.000000,13.000000,2.000000
40,1.000000,350.000000,102.000000,37.000000,6.000000,3.000000
41,1.000000,353.000000,115.000000,33.000000,11.000000,3.000000
42,1.000000,324.000000,120.000000,28.000000,7.000000,1.000000
43,1.000000,290.000000,95.000000,35.000000,12.000000,5.000000
44,1.000000,287.000000,109.000000,29.000000,11.000000,1.000000
45,1.000000,221.000000,97.000000,24.000000,9.000000,2.000000
46,1.000000,224.000000,97.000000,30.000000,11.000000,2.000000
47,1.000000,228.000000,99.000000,44.000000,10.000000,4.000000
48,1.000000,223.000000,94.000000,27.000000,9.000000,1.000000
49,1.000000,215.000000,70.000000,22.000000,10.000000,5.000000


position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,1.000000,190.000000,87.000000,36.000000,10.000000,2.000000
1,1.000000,194.000000,75.000000,27.000000,7.000000,4.000000
2,1.000000,219.000000,88.000000,27.000000,4.000000,3.000000
3,1.000000,239.000000,78.000000,31.000000,10.000000,2.000000
4,1.000000,247.000000,76.000000,31.000000,6.000000,2.000000
5,1.000000,247.000000,96.000000,39.000000,6.000000,4.000000
6,1.000000,294.000000,119.000000,34.000000,6.000000,2.000000
7,1.000000,306.000000,101.000000,39.000000,12.000000,4.000000
8,1.000000,307.000000,106.000000,29.000000,11.000000,1.000000
9,1.000000,329.000000,117.000000,30.000000,12.000000,4.000000
10,1.000000,381.000000,128.000000,36.000000,15.000000,2.000000
11,1.000000,386.000000,119.000000,47.000000,12.000000,2.000000
12,1.000000,427.000000,138.000000,34.000000,10.000000,3.000000
13,1.000000,479.000000,145.000000,36.000000,16.000000,6.000000
14,1.000000,455.000000,129.000000,31.000000,14.000000,4.000000
15,1.000000,512.000000,149.000000,36.000000,16.000000,5.000000
16,1.000000,568.000000,126.000000,37.000000,9.000000,6.000000
17,1.000000,609.000000,138.000000,41.000000,19.000000,3.000000
18,1.000000,676.000000,158.000000,49.000000,15.000000,3.000000
19,1.000000,737.000000,170.000000,37.000000,17.000000,6.000000
20,9268.000000,942.000000,168.000000,49.000000,16.000000,2.000000
21,12206.000000,1041.000000,166.000000,51.000000,13.000000,4.000000
22,12166.000000,1101.000000,158.000000,31.000000,16.000000,4.000000
23,12319.000000,1103.000000,178.000000,43.000000,15.000000,1.000000
24,12075.000000,1122.000000,175.000000,50.000000,8.000000,1.000000
25,12279.000000,1121.000000,166.000000,48.000000,5.000000,2.000000
26,12443.000000,1139.000000,159.000000,47.000000,12.000000,4.000000
27,12293.000000,1080.000000,172.000000,40.000000,8.000000,3.000000
