number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000
40,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000
41,0.000000,0.000000,0.000000,0.000000,0.000000,40.000000
42,0.000000,0.000000,0.000000,0.000000,0.000000,67.000000
43,0.000000,0.000000,0.000000,0.000000,0.000000,122.000000
44,0.000000,0.000000,0.000000,0.000000,0.000000,221.000000
45,0.000000,0.000000,0.000000,0.000000,12.000000,307.000000
46,0.000000,0.000000,0.000000,0.000000,40.000000,521.000000
47,0.000000,0.000000,0.000000,0.000000,100.000000,633.000000
48,0.000000,0.000000,0.000000,0.000000,181.000000,895.000000
49,0.000000,0.000000,0.000000,0.000000,302.000000,1040.000000
50,0.000000,0.000000,0.000000,0.000000,402.000000,1210.000000
51,0.000000,0.000000,0.000000,0.000000,526.000000,1493.000000
52,0.000000,0.000000,0.000000,0.000000,692.000000,1723.000000
53,0.000000,0.000000,0.000000,5.000000,941.000000,1920.000000
54,0.000000,0.000000,0.000000,64.000000,1277.000000,2080.000000
55,0.000000,0.000000,0.000000,253.000000,1551.000000,2349.000000
56,0.000000,0.000000,0.000000,430.000000,1872.000000,2473.000000
57,0.000000,0.000000,0.000000,655.000000,2175.000000,2550.000000
58,0.000000,0.000000,0.000000,832.000000,2353.000000,2695.000000
59,0.000000,0.000000,0.000000,1103.000000,2589.000000,2796.000000
60,0.000000,0.000000,0.000000,1325.000000,2836.000000,2867.000000
61,0.000000,0.000000,0.000000,1581.000000,3086.000000,2785.000000
62,0.000000,0.000000,0.000000,1890.000000,3324.000000,2706.000000
63,0.000000,0.000000,0.000000,2095.000000,3468.000000,2760.000000
64,0.000000,0.000000,0.000000,2435.000000,3663.000000,2708.000000
65,0.000000,0.000000,0.000000,2868.000000,3879.000000,2779.000000
66,0.000000,0.000000,0.000000,3351.000000,3998.000000,2563.000000
67,0.000000,0.000000,203.000000,3803.000000,4114.000000,2483.000000
68,0.000000,0.000000,1111.000000,4204.000000,4064.000000,2450.000000
69,0.000000,0.000000,1852.000000,4544.000000,4093.000000,2233.000000
70,0.000000,0.000000,2490.000000,4853.000000,4044.000000,2172.000000
71,0.000000,0.000000,2893.000000,5132.000000,4000.000000,2062.000000
72,0.000000,0.000000,3282.000000,5242.000000,3841.000000,1895.000000
73,0.000000,0.000000,3570.000000,5221.000000,3819.000000,1832.000000
74,0.000000,0.000000,3873.000000,5222.000000,3671.000000,1614.000000
75,0.000000,0.000000,4141.000000,5354.000000,3535.000000,1593.000000
76,0.000000,0.000000,4255.000000,5439.000000,3499.000000,1461.000000
77,0.000000,0.000000,4319.000000,5412.000000,3405.000000,1346.000000
78,0.000000,0.000000,4628.000000,5589.000000,3171.000000,1244.000000
79,0.000000,0.000000,4897.000000,5556.000000,3033.000000,1158.000000
80,0.000000,0.000000,5172.000000,5517.000000,2935.000000,1100.000000
81,0.000000,0.000000,5512.000000,5509.000000,2847.000000,964.000000
82,0.000000,0.000000,5663.000000,5488.000000,2732.000000,907.000000
83,0.000000,0.000000,6022.000000,5431.000000,2571.000000,804.000000
84,0.000000,0.000000,6389.000000,5529.000000,2465.000000,728.000000
85,0.000000,0.000000,7024.000000,5434.000000,2295.000000,658.000000
86,0.000000,0.000000,7463.000000,5351.000000,2138.000000,632.000000
87,0.000000,0.000000,7941.000000,5447.000000,2049.000000,513.000000
88,0.000000,0.000000,8505.000000,5159.000000,1899.000000,516.000000
89,0.000000,0.000000,9168.000000,5116.000000,1700.000000,474.000000
90,0.000000,113.000000,9835.000000,4824.000000,1650.000000,429.000000
91,0.000000,15377.000000,10602.000000,4639.000000,1472.000000,371.000000
92,0.000000,14640.000000,10377.000000,4460.000000,1330.000000,323.000000
93,0.000000,13847.000000,9390.000000,4149.000000,1249.000000,291.000000
94,0.000000,13516.000000,9117.000000,3746.000000,1182.000000,271.000000
95,0.000000,13035.000000,8697.000000,3626.000000,1073.000000,240.000000
96,0.000000,12674.000000,8269.000000,3492.000000,994.000000,211.000000
97,0.000000,12072.000000,7875.000000,3281.000000,955.000000,225.000000
98,0.000000,11869.000000,7593.000000,3015.000000,847.000000,175.000000
99,0.000000,11343.000000,7429.000000,2952.000000,808.000000,159.000000
100,0.000000,11041.000000,7106.000000,2779.000000,739.000000,157.000000
101,0.000000,10899.000000,7066.000000,2564.000000,669.000000,140.000000
102,0.000000,10703.000000,6764.000000,2603.000000,620.000000,114.000000
103,0.000000,10527.000000,6433.000000,2305.000000,615.000000,108.000000
104,0.000000,10072.000000,6277.000000,2339.000000,534.000000,97.000000
105,0.000000,10075.000000,6223.000000,2129.000000,512.000000,87.000000
106,0.000000,9866.000000,6199.000000,2137.000000,471.000000,76.000000
107,0.000000,9855.000000,6008.000000,1926.000000,417.000000,67.000000
108,0.000000,9913.000000,5803.000000,1913.000000,387.000000,56.000000
109,0.000000,9750.000000,5858.000000,1843.000000,361.000000,55.000000
110,0.000000,9824.000000,5763.000000,1786.000000,334.000000,55.000000
111,0.000000,9838.000000,5615.000000,1656.000000,316.000000,37.000000
112,0.000000,9920.000000,5627.000000,1582.000000,304.000000,31.000000
113,0.000000,10024.000000,5403.000000,1469.000000,255.000000,26.000000
114,0.000000,10238.000000,5417.000000,1409.000000,183.000000,28.000000
115,0.000000,10622.000000,5259.000000,1286.000000,209.000000,20.000000
116,0.000000,11079.000000,5194.000000,1241.000000,200.000000,24.000000
117,0.000000,10951.000000,5219.000000,1131.000000,179.000000,13.000000
118,0.000000,11341.000000,4995.000000,1107.000000,132.000000,20.000000
119,0.000000,11613.000000,4843.000000,1046.000000,127.000000,13.000000
120,0.000000,12017.000000,4824.000000,959.000000,116.000000,12.000000
121,0.000000,12192.000000,4683.000000,970.000000,115.000000,5.000000
122,0.000000,12671.000000,4727.000000,830.000000,85.000000,5.000000
123,0.000000,13093.000000,4432.000000,695.000000,94.000000,5.000000
124,0.000000,13554.000000,4447.000000,715.000000,72.000000,6.000000
125,0.000000,13949.000000,4235.000000,611.000000,47.000000,5.000000
126,0.000000,14593.000000,4183.000000,558.000000,48.000000,3.000000
127,0.000000,15019.000000,3933.000000,463.000000,44.000000,3.000000
128,0.000000,15195.000000,3682.000000,482.000000,46.000000,1.000000
129,0.000000,16073.000000,3564.000000,381.000000,25.000000,2.000000
130,0.000000,16582.000000,3393.000000,339.000000,22.000000,2.000000
131,0.000000,16944.000000,3234.000000,287.000000,13.000000,1.000000
132,0.000000,17769.000000,2938.000000,221.000000,15.000000,0.000000
133,0.000000,18526.000000,2636.000000,206.000000,8.000000,0.000000
134,0.000000,19269.000000,2448.000000,176.000000,4.000000,0.000000
135,0.000000,19619.000000,2155.000000,136.000000,5.000000,1.000000
136,0.000000,20295.000000,1886.000000,85.000000,2.000000,0.000000
137,0.000000,20541.000000,1515.000000,58.000000,0.000000,0.000000
138,0.000000,21577.000000,1248.000000,56.000000,0.000000,0.000000
139,0.000000,22204.000000,854.000000,22.000000,1.000000,0.000000
140,1175399.000000,26187.000000,426.000000,9.000000,0.000000,0.000000


number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
