position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,771.000000,1081.000000,1146.000000,1082.000000,1074.000000,1100.000000
13,8409.000000,7371.000000,7085.000000,7256.000000,7370.000000,7278.000000
14,10843.000000,12318.000000,12537.000000,12303.000000,12511.000000,12459.000000
15,17940.000000,16501.000000,16366.000000,16505.000000,16800.000000,16480.000000
16,18410.000000,20024.000000,20058.000000,20151.000000,20147.000000,20188.000000
17,24674.000000,22991.000000,22896.000000,23108.000000,22739.000000,23019.000000
18,23824.000000,25448.000000,25673.000000,25608.000000,25827.000000,25720.000000
19,29991.000000,28327.000000,27937.000000,27869.000000,28097.000000,27970.000000
20,27494.000000,29724.000000,29679.000000,29995.000000,29567.000000,29804.000000
21,33431.000000,31760.000000,31601.000000,31585.000000,31949.000000,31536.000000
22,30886.000000,33037.000000,33112.000000,33114.000000,33310.000000,32977.000000
23,36445.000000,34400.000000,34467.000000,34532.000000,34406.000000,34523.000000
24,33854.000000,35770.000000,35675.000000,35733.000000,35921.000000,35879.000000
25,38515.000000,36586.000000,36694.000000,36439.000000,36629.000000,36537.000000
26,35252.000000,37534.000000,37676.000000,37701.000000,37498.000000,37417.000000
27,40583.000000,37827.000000,38383.000000,38116.000000,37913.000000,38108.000000
28,36792.000000,38927.000000,38757.000000,38896.000000,38764.000000,38995.000000
29,40657.000000,39235.000000,38941.000000,38931.000000,39286.000000,39150.000000
30,37380.000000,39680.000000,39483.000000,39692.000000,39517.000000,39455.000000
31,41922.000000,39449.000000,39899.000000,39770.000000,39414.000000,39396.000000
32,37694.000000,39907.000000,39944.000000,39590.000000,40007.000000,40053.000000
33,41774.000000,39567.000000,39719.000000,39808.000000,39442.000000,39515.000000
34,37238.000000,39277.000000,39105.000000,39961.000000,39411.000000,38773.000000
35,41095.000000,39269.000000,39393.000000,38775.000000,39081.000000,39457.000000
36,36673.000000,38717.000000,38673.000000,38781.000000,38618.000000,38290.000000
37,40421.000000,38288.000000,38128.000000,38242.000000,38477.000000,38335.000000
38,35527.000000,37424.000000,37683.000000,37220.000000,37406.000000,37133.000000
39,38780.000000,36709.000000,36633.000000,36818.000000,36843.000000,36451.000000
40,33583.000000,35397.000000,35727.000000,35830.000000,35605.000000,35587.000000
41,36516.000000,34580.000000,34176.000000,34386.000000,34604.000000,34275.000000
42,31071.000000,33080.000000,33288.000000,32983.000000,33151.000000,33091.000000
43,33446.000000,31690.000000,31626.000000,31595.000000,31619.000000,31596.000000
44,27969.000000,29730.000000,29750.000000,29972.000000,30318.000000,29920.000000
45,30038.000000,27741.000000,28017.000000,27758.000000,28476.000000,27939.000000
46,23931.000000,25714.000000,25690.000000,25683.000000,25697.000000,25457.000000
47,24626.000000,23330.000000,23074.000000,23246.000000,22926.000000,22827.000000
48,18697.000000,20233.000000,20460.000000,19854.000000,20097.000000,19943.000000
49,18059.000000,16403.000000,16503.000000,16697.000000,16591.000000,16526.000000
50,11184.000000,12320.000000,12577.000000,12521.000000,12457.000000,12548.000000
51,8237.000000,7436.000000,7347.000000,7347.000000,7205.000000,7372.000000
52,767.000000,1170.000000,1158.000000,1099.000000,1122.000000,1075.000000
53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000


position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,811.000000,1135.000000,1163.000000,1138.000000,1080.000000,1125.000000
13,8276.000000,7445.000000,7268.000000,7341.000000,7323.000000,7370.000000
14,11196.000000,12407.000000,12478.000000,12324.000000,12348.000000,12374.000000
15,18443.000000,16635.000000,16635.000000,16754.000000,16364.000000,16586.000000
16,18355.000000,20113.000000,20380.000000,20001.000000,20194.000000,20066.000000
17,24870.000000,22842.000000,23082.000000,23177.000000,23147.000000,23110.000000
18,23922.000000,25434.000000,25901.000000,25776.000000,25828.000000,25572.000000
19,29709.000000,27844.000000,28172.000000,28047.000000,28054.000000,27883.000000
20,27773.000000,29630.000000,29868.000000,29768.000000,29668.000000,29847.000000
21,33487.000000,31922.000000,32043.000000,31749.000000,31583.000000,31524.000000
22,30855.000000,33231.000000,33571.000000,33338.000000,33148.000000,32990.000000
23,36251.000000,34630.000000,34494.000000,34351.000000,34588.000000,34429.000000
24,33441.000000,35645.000000,35573.000000,35900.000000,35817.000000,35702.000000
25,38413.000000,36455.000000,36776.000000,36288.000000,36622.000000,36553.000000
26,35605.000000,37251.000000,37555.000000,37933.000000,37138.000000,37262.000000
27,40313.000000,38190.000000,38330.000000,37920.000000,38222.000000,38043.000000
28,36757.000000,39114.000000,39015.000000,38725.000000,39139.000000,38951.000000
29,41310.000000,39368.000000,39073.000000,38755.000000,39162.000000,38831.000000
30,37359.000000,39616.000000,39349.000000,39464.000000,39442.000000,39707.000000
31,42196.000000,40286.000000,39552.000000,39593.000000,39425.000000,39742.000000
32,37739.000000,39652.000000,39959.000000,39848.000000,39745.000000,39356.000000
33,41943.000000,39986.000000,39602.000000,39653.000000,39558.000000,39839.000000
34,37595.000000,39552.000000,39603.000000,39501.000000,39716.000000,39378.000000
35,41262.000000,39749.000000,39343.000000,39106.000000,39600.000000,39294.000000
36,36555.000000,38541.000000,38887.000000,39200.000000,38566.000000,38660.000000
37,40152.000000,38206.000000,38122.000000,38118.000000,38169.000000,38248.000000
38,35458.000000,37396.000000,37869.000000,37761.000000,37351.000000,37328.000000
39,38767.000000,36463.000000,36503.000000,36812.000000,36947.000000,36664.000000
40,33660.000000,35778.000000,36311.000000,35966.000000,35783.000000,35665.000000
41,36627.000000,34056.000000,34432.000000,34337.000000,34477.000000,34307.000000
42,31500.000000,33584.000000,33142.000000,32748.000000,33239.000000,32896.000000
43,33537.000000,31422.000000,31565.000000,31775.000000,31469.000000,31704.000000
44,27900.000000,29883.000000,29669.000000,29980.000000,29748.000000,29453.000000
45,29932.000000,28226.000000,28382.000000,27921.000000,27907.000000,27930.000000
46,24075.000000,25416.000000,25564.000000,25550.000000,25790.000000,25477.000000
47,24763.000000,23046.000000,23032.000000,22903.000000,22949.000000,22981.000000
48,18419.000000,20120.000000,20247.000000,20347.000000,20276.000000,20101.000000
49,18140.000000,16498.000000,16385.000000,16851.000000,16714.000000,16697.000000
50,11081.000000,12438.000000,12497.000000,12482.000000,12322.000000,12297.000000
51,8262.000000,7205.000000,7435.000000,7207.000000,7332.000000,7343.000000
52,776.000000,1125.000000,1080.000000,1113.000000,1129.000000,1119.000000
53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000


position,primary,scatter1,scatter2,scatter3,scatter4,scatter5
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,343.000000,367.000000,362.000000,368.000000,332.000000,363.000000
13,2832.000000,2777.000000,2687.000000,2703.000000,2878.000000,2840.000000
14,5271.000000,5355.000000,5307.000000,5492.000000,5386.000000,5214.000000
15,7815.000000,7770.000000,7685.000000,7831.000000,7766.000000,7964.000000
16,9864.000000,9961.000000,9951.000000,10063.000000,9958.000000,10038.000000
17,11922.000000,12074.000000,12081.000000,11932.000000,11946.000000,11986.000000
18,13521.000000,13871.000000,13629.000000,13864.000000,13811.000000,13859.000000
19,15413.000000,15567.000000,15739.000000,15374.000000,15577.000000,15279.000000
20,16706.000000,16749.000000,17001.000000,16772.000000,17108.000000,16820.000000
21,18246.000000,18104.000000,18122.000000,18288.000000,18140.000000,18184.000000
